"School_Name","Region","School_Type","Starting_Median_Salary","Mid_Career_Median_Salary","Mid_Career_10th_Percentile_Salary","Mid_Career_25th_Percentile_Salary","Mid_Career_75th_Percentile_Salary","Mid_Career_90th_Percentile_Salary"
"California Institute of Technology (CIT)","California","Engineering",75500,123000,NA,104000,161000,NA
"Harvey Mudd College","California","Engineering",71800,122000,NA,96000,180000,NA
"University of California, Berkeley","California","State",59900,112000,59500,81000,149000,201000
"Occidental College","California","Liberal Arts",51900,105000,NA,54800,157000,NA
"Cal Poly San Luis Obispo","California","State",57200,101000,55000,74700,133000,178000
"University of California at Los Angeles (UCLA)","California","State",52600,101000,51300,72500,139000,193000
"University of California, San Diego (UCSD)","California","State",51100,101000,51700,75400,131000,177000
"Pomona College","California","Liberal Arts",48600,101000,NA,63300,161000,NA
"University of California, Davis","California","State",52300,99600,52000,71600,135000,202000
"University of California, Irvine (UCI)","California","State",48300,96700,47800,66000,123000,172000
"San Jose State University (SJSU)","California","State",53500,95600,50700,70500,122000,156000
"University of California, Santa Barbara (UCSB)","California","Party",50500,95000,51300,71200,129000,173000
"University of California, Santa Barbara (UCSB)","California","State",50500,95000,51300,71200,129000,173000
"California State University (CSU), Chico","California","State",47400,88100,46800,62800,122000,154000
"California State University, Fullerton (CSUF)","California","State",45700,87000,45400,62500,119000,158000
"San Francisco State University (SFSU)","California","State",47300,86400,45100,62700,114000,150000
"San Diego State University (SDSU)","California","State",46200,85200,45500,61800,116000,158000
"California State University, Long Beach (CSULB)","California","State",45100,84700,47400,62500,113000,154000
"California State University, East Bay (CSUEB)","California","State",49200,84300,46000,62400,115000,155000
"University of California, Santa Cruz (UCSC)","California","State",44700,84100,46100,62000,121000,165000
"California State University, Sacramento (CSUS)","California","State",47800,82400,42900,59600,111000,154000
"University of California, Riverside (UCR)","California","State",46800,81300,37200,59900,109000,134000
"California State University, Northridge (CSUN)","California","State",45500,80400,44500,57800,108000,153000
"California State University, Dominguez Hills (CSUDH)","California","State",42700,72100,30800,47000,92200,132000
"California State University (CSU), Stanislaus","California","State",38000,71400,NA,50500,94100,NA
"Humboldt State University","California","State",42600,71300,36000,56300,94400,117000
"Thomas Aquinas College","California","Liberal Arts",41500,67500,NA,44600,93100,NA
"Colorado School of Mines","Western","Engineering",58100,106000,62200,87900,142000,201000
"University of Colorado - Boulder (UCB)","Western","State",47100,97600,51600,69000,128000,187000
"New Mexico Institute of Mining and Technology (New Mexico Tech)","Western","Engineering",51000,93400,NA,67400,123000,NA
"University of Arizona","Western","State",47500,86100,44800,61700,117000,160000
"University of Washington (UW)","Western","State",48800,85300,47000,59800,115000,149000
"Washington State University (WSU)","Western","State",45300,84700,43600,59000,113000,162000
"University of Colorado - Denver","Western","State",46100,84400,46400,58600,105000,144000
"Arizona State University (ASU)","Western","Party",47400,84100,44600,60700,114000,163000
"Arizona State University (ASU)","Western","State",47400,84100,44600,60700,114000,163000
"Oregon State University (OSU)","Western","State",45100,83300,46900,64000,113000,146000
"University of Utah","Western","State",45400,83200,43000,58400,116000,148000
"University of Nevada, Reno (UNR)","Western","State",46500,82900,41900,54600,113000,143000
"University of Idaho","Western","State",44900,82000,43000,56700,104000,142000
"University of New Mexico (UNM)","Western","State",41600,81600,41800,59100,105000,141000
"University of Puget Sound","Western","Liberal Arts",46600,81500,48900,60100,104000,137000
"Colorado College (CC)","Western","Liberal Arts",38500,81400,NA,43000,148000,NA
"Reed College","Western","Liberal Arts",40500,81100,NA,67400,101000,NA
"Whitman College","Western","Liberal Arts",43500,80100,NA,64800,111000,NA
"New Mexico State University","Western","State",44300,79500,37400,53800,102000,131000
"Colorado State University (CSU)","Western","State",44800,79000,43800,57100,112000,150000
"University of Wyoming (UW)","Western","State",44500,78700,41500,54000,105000,145000
"Utah State University","Western","State",43800,78700,41600,55400,101000,132000
"University of Oregon","Western","State",42200,78400,38100,56200,117000,186000
"Montana State University - Bozeman","Western","State",46600,77500,40200,58100,111000,151000
"University of Hawaii","Western","State",43800,76000,40400,56300,104000,128000
"Western Washington University","Western","State",42700,75400,41300,56700,99200,119000
"Idaho State University","Western","State",44900,73400,35400,49600,101000,143000
"University of Alaska, Anchorage","Western","State",45900,72600,39800,56600,99300,137000
"Lewis & Clark College","Western","Liberal Arts",38900,72600,38200,53400,104000,140000
"University of Montana","Western","State",37300,71900,37000,51500,96400,138000
"University of Nevada, Las Vegas (UNLV)","Western","State",45200,71600,39000,52400,1e+05,128000
"Portland State University (PSU)","Western","State",42600,70900,40700,52300,94400,123000
"Eastern Washington University","Western","State",38600,70900,36000,50500,93100,117000
"Fort Lewis College","Western","Liberal Arts",42000,69800,NA,55000,94000,NA
"Boise State University (BSU)","Western","State",40800,69500,37400,48700,87500,110000
"Utah Valley State College","Western","State",42400,67100,NA,44100,84900,NA
"Evergreen State College","Western","Liberal Arts",39500,63900,38800,47200,91600,120000
"Southern Utah University","Western","State",41900,56500,NA,39700,78400,NA
"Montana State University - Billings","Western","State",37900,50600,NA,31800,78500,NA
"Carleton College","Midwestern","Liberal Arts",47500,103000,NA,69400,141000,NA
"Illinois Institute of Technology (IIT)","Midwestern","Engineering",56000,97800,56100,77400,121000,165000
"University of Illinois at Urbana-Champaign (UIUC)","Midwestern","Party",52900,96100,48200,68900,132000,177000
"University of Illinois at Urbana-Champaign (UIUC)","Midwestern","State",52900,96100,48200,68900,132000,177000
"University of Missouri - Rolla (UMR)","Midwestern","State",57100,95800,67600,80400,122000,166000
"South Dakota School of Mines & Technology","Midwestern","Engineering",55800,93400,71500,81900,122000,147000
"University of Michigan","Midwestern","State",52700,93000,50900,69400,128000,182000
"Purdue University","Midwestern","State",51400,90500,49900,67400,121000,168000
"DePauw University","Midwestern","Liberal Arts",41400,88200,49500,57400,133000,185000
"University of Wisconsin (UW) - Madison","Midwestern","State",48900,87800,47400,62400,118000,170000
"St. Olaf College","Midwestern","Liberal Arts",45300,86200,41300,61000,120000,185000
"Michigan State University (MSU)","Midwestern","State",46300,85300,44200,61500,119000,170000
"Iowa State University","Midwestern","State",45400,84600,44400,60000,109000,147000
"University of Minnesota","Midwestern","State",46200,84200,49000,63200,112000,148000
"Indiana University (IU), Bloomington","Midwestern","Party",46300,84000,43600,60400,119000,178000
"Indiana University (IU), Bloomington","Midwestern","State",46300,84000,43600,60400,119000,178000
"University of Iowa (UI)","Midwestern","Party",44700,83900,43300,61100,116000,163000
"University of Iowa (UI)","Midwestern","State",44700,83900,43300,61100,116000,163000
"Ohio State University (OSU)","Midwestern","State",44900,83700,45500,60700,116000,162000
"Denison University","Midwestern","Liberal Arts",42000,83500,NA,62100,122000,NA
"University of Illinois at Chicago","Midwestern","State",47500,81700,44700,58800,110000,146000
"Oberlin College","Midwestern","Liberal Arts",43400,81600,NA,46400,128000,NA
"University of Kansas","Midwestern","State",42400,81600,44800,57200,115000,156000
"University of Missouri - Columbia","Midwestern","State",41700,81000,43500,57100,111000,156000
"University of Nebraska","Midwestern","State",45700,80900,42200,56600,113000,156000
"Northern Illinois University (NIU)","Midwestern","State",43600,80800,43900,60200,111000,161000
"Gustavus Adolphus College","Midwestern","Liberal Arts",44500,80600,NA,49300,101000,NA
"University of North Dakota","Midwestern","State",44000,80600,43400,56400,111000,157000
"Kansas State University (KSU)","Midwestern","State",43300,79000,37200,54100,106000,138000
"University of Wisconsin (UW) - Platteville","Midwestern","State",45800,78500,48400,61200,1e+05,139000
"Wittenberg University","Midwestern","Liberal Arts",39200,78200,NA,54100,131000,NA
"North Dakota State University (NDSU)","Midwestern","State",45100,77800,39000,55800,1e+05,123000
"Grinnell College","Midwestern","Liberal Arts",42600,76600,NA,65100,116000,NA
"Wayne State University","Midwestern","State",42800,76100,40100,56200,101000,139000
"University of Toledo","Midwestern","State",43100,75900,40100,54100,1e+05,133000
"University of Wisconsin (UW) - Whitewater","Midwestern","State",40800,75500,38200,53500,99300,150000
"Minnesota State University - Mankato","Midwestern","State",43300,74700,39500,53800,95700,140000
"University of Wisconsin (UW) - Milwaukee","Midwestern","State",42300,74600,40600,54000,93700,123000
"Western Michigan University (WMU)","Midwestern","State",42300,73800,40100,52500,103000,135000
"South Dakota State University (SDSU)","Midwestern","State",41100,73500,34100,49900,99400,129000
"Ohio University","Midwestern","Party",42200,73400,36600,52800,106000,150000
"Ohio University","Midwestern","State",42200,73400,36600,52800,106000,150000
"Illinois State University","Midwestern","State",42000,73400,39100,55200,105000,142000
"Cleveland State University","Midwestern","State",43500,73100,39500,51600,97000,137000
"University of Nebraska at Omaha","Midwestern","State",41500,72600,39500,54400,97400,126000
"Southern Illinois University Carbondale","Midwestern","State",43000,72500,38300,51300,99300,139000
"Eastern Michigan University","Midwestern","State",40300,72100,37900,52800,95400,135000
"Bowling Green State University","Midwestern","State",39800,72100,38200,51800,101000,146000
"St. Cloud State University","Midwestern","State",41800,71400,38700,49400,101000,126000
"University of Wisconsin (UW) - Parkside","Midwestern","State",40700,71400,40900,53100,84900,119000
"University of Akron","Midwestern","State",41100,70300,40600,53300,95200,127000
"Missouri State University (MSU)","Midwestern","State",36100,69500,33300,46900,102000,134000
"University of Wisconsin (UW) - La Crosse","Midwestern","State",42200,69300,37500,47200,93100,133000
"University of Wisconsin (UW) - Stout","Midwestern","State",43600,68300,40900,50600,91600,136000
"University of Missouri - St. Louis (UMSL)","Midwestern","State",41400,67100,36800,49600,97600,144000
"University of Wisconsin (UW) - Oshkosh","Midwestern","State",39300,66400,37700,49700,90100,138000
"University of Missouri - Kansas City (UMKC)","Midwestern","State",38900,65800,36300,48100,95800,124000
"University of Wisconsin (UW) - Eau Claire","Midwestern","State",41400,64800,35000,47300,93100,125000
"Ball State University (BSU)","Midwestern","State",39100,64500,35500,48200,89300,128000
"University of Wisconsin (UW) - Stevens Point","Midwestern","State",39800,64000,38400,45100,95400,128000
"Kent State University","Midwestern","State",38700,62600,36100,45800,87000,124000
"University of Wisconsin (UW) - Green Bay","Midwestern","State",35800,60600,35500,46800,81800,102000
"Pittsburg State University","Midwestern","State",40400,58200,25600,46000,84600,117000
"Black Hills State University","Midwestern","State",35300,43900,NA,32200,60900,NA
"Georgia Institute of Technology","Southern","Engineering",58300,106000,67200,85200,137000,183000
"Washington and Lee University","Southern","Liberal Arts",53600,104000,NA,82800,146000,NA
"Davidson College","Southern","Liberal Arts",46100,104000,NA,70500,146000,NA
"University of Virginia (UVA)","Southern","State",52700,103000,52200,71800,146000,215000
"Texas A&M University","Southern","State",49700,96100,51100,71300,131000,171000
"Virginia Polytechnic Institute and State University (Virginia Tech)","Southern","Engineering",53500,95400,50600,71400,124000,163000
"University of Maryland, College Park","Southern","Party",52000,95000,50400,68300,126000,166000
"University of Maryland, College Park","Southern","State",52000,95000,50400,68300,126000,166000
"University of Richmond","Southern","Liberal Arts",48600,94600,44500,59400,151000,211000
"University of Texas (UT) - Austin","Southern","Party",49700,93900,50100,67400,129000,188000
"University of Texas (UT) - Austin","Southern","State",49700,93900,50100,67400,129000,188000
"University of Florida (UF)","Southern","Party",47100,87900,45400,62900,120000,172000
"University of Florida (UF)","Southern","State",47100,87900,45400,62900,120000,172000
"Louisiana State University (LSU)","Southern","Party",46900,87800,43700,61300,120000,165000
"Louisiana State University (LSU)","Southern","State",46900,87800,43700,61300,120000,165000
"George Mason University","Southern","State",47800,86900,51300,67200,114000,150000
"Clemson University","Southern","State",48400,86000,50500,61800,111000,150000
"University of Georgia (UGA)","Southern","Party",44100,86000,43100,57800,118000,164000
"University of Georgia (UGA)","Southern","State",44100,86000,43100,57800,118000,164000
"Auburn University","Southern","State",45400,84700,45400,62700,109000,145000
"University of Delaware","Southern","State",45900,84500,44500,64000,119000,165000
"Randolph-Macon College","Southern","Party",42600,83600,NA,54100,123000,NA
"Randolph-Macon College","Southern","Liberal Arts",42600,83600,NA,54100,123000,NA
"North Carolina State University (NCSU)","Southern","State",47200,83300,49200,64800,112000,153000
"University of Oklahoma","Southern","State",44700,82900,41200,60300,114000,167000
"University of Arkansas","Southern","State",44100,82800,43200,60700,113000,160000
"University of Alabama at Huntsville (UAH)","Southern","State",43100,82700,46100,67800,106000,132000
"University of North Carolina at Chapel Hill (UNCH)","Southern","State",42900,81500,43400,57500,117000,155000
"University of Alabama, Tuscaloosa","Southern","Party",41300,81400,40100,56500,117000,161000
"University of Alabama, Tuscaloosa","Southern","State",41300,81400,40100,56500,117000,161000
"University of Texas at Arlington (UTA)","Southern","State",45400,80800,46400,61200,106000,138000
"Oklahoma State University","Southern","State",42800,80700,40100,56500,114000,151000
"Tennessee Technological University","Southern","Engineering",46200,80000,42100,62600,99500,121000
"University of Houston (UH)","Southern","State",46000,79900,42000,56200,106000,141000
"University of Mississippi","Southern","Party",41400,79700,40400,53500,108000,186000
"University of Mississippi","Southern","State",41400,79700,40400,53500,108000,186000
"Lamar University","Southern","State",46500,79400,38700,51600,114000,158000
"Mississippi State University (MSU)","Southern","State",44500,79300,43300,58800,108000,151000
"University of Kentucky (UK)","Southern","State",42800,78300,43000,57300,107000,149000
"West Virginia University (WVU)","Southern","Party",43100,78100,39700,55700,106000,141000
"West Virginia University (WVU)","Southern","State",43100,78100,39700,55700,106000,141000
"University of Maryland Baltimore County (UMBC)","Southern","State",47000,77800,46900,59100,105000,130000
"University of Louisiana (UL) at Lafayette","Southern","State",41100,76300,42000,54500,107000,163000
"Florida International University (FIU)","Southern","State",43200,75500,40500,55800,98200,136000
"University of Tennessee","Southern","Party",43800,74600,41900,53200,106000,153000
"University of Tennessee","Southern","State",43800,74600,41900,53200,106000,153000
"University of Arkansas - Monticello (UAM)","Southern","State",39200,74500,NA,46100,110000,NA
"University of North Carolina at Charlotte (UNCC)","Southern","State",43100,74000,38200,53200,99500,133000
"Georgia State University","Southern","State",41800,74000,43000,55300,99900,145000
"Florida State University (FSU)","Southern","Party",42100,73000,39600,52800,107000,156000
"Florida State University (FSU)","Southern","State",42100,73000,39600,52800,107000,156000
"University of Texas at El Paso (UTEP)","Southern","State",43400,72100,37700,50400,99500,133000
"University of Central Florida (UCF)","Southern","State",42600,71700,39500,51500,98400,125000
"University of South Carolina","Southern","State",40000,71700,36300,49900,98400,131000
"Florida Atlantic University (FAU)","Southern","State",42600,71100,40700,53000,99500,137000
"University of South Florida (USF)","Southern","State",41100,71100,39600,51500,98100,131000
"University of Texas at San Antonio (UTSA)","Southern","State",42500,70700,39100,49800,92700,121000
"University of Alabama at Birmingham (UAB)","Southern","State",39200,70100,43000,53400,91400,125000
"University of Memphis (U of M)","Southern","State",41400,69700,36100,49100,93500,127000
"Appalachian State University","Southern","State",40400,69100,37200,50400,90800,115000
"Virginia Commonwealth University (VCU)","Southern","State",42000,68400,37400,51900,1e+05,123000
"East Carolina University (ECU)","Southern","State",40200,67500,38400,52000,98700,151000
"Western Carolina University","Southern","State",36900,66600,39000,49500,94400,133000
"University of North Carolina at Wilmington (UNCW)","Southern","State",37500,64400,32100,46600,97100,129000
"Arkansas State University (ASU)","Southern","State",38700,63300,33600,45300,83900,118000
"Tarleton State University (TSU)","Southern","State",40800,62400,32100,47400,80400,126000
"Morehead State University","Southern","State",34800,60600,34300,46500,72000,91300
"Austin Peay State University","Southern","State",37700,59200,32200,40500,73900,96200
"Dartmouth College","Northeastern","Ivy League",58000,134000,63100,90200,234000,321000
"Princeton University","Northeastern","Ivy League",66500,131000,68900,1e+05,190000,261000
"Massachusetts Institute of Technology (MIT)","Northeastern","Engineering",72200,126000,76800,99200,168000,220000
"Yale University","Northeastern","Ivy League",59100,126000,58000,80600,198000,326000
"Harvard University","Northeastern","Ivy League",63400,124000,54800,86200,179000,288000
"University of Pennsylvania","Northeastern","Ivy League",60900,120000,55900,79200,192000,282000
"Polytechnic University of New York, Brooklyn","Northeastern","Engineering",62400,114000,66800,94300,143000,190000
"Cooper Union","Northeastern","Engineering",62200,114000,NA,80200,142000,NA
"Worcester Polytechnic Institute (WPI)","Northeastern","Engineering",61000,114000,80000,91200,137000,180000
"Carnegie Mellon University (CMU)","Northeastern","Engineering",61800,111000,63300,80100,150000,209000
"Rensselaer Polytechnic Institute (RPI)","Northeastern","Engineering",61100,110000,71600,85500,140000,182000
"Cornell University","Northeastern","Ivy League",60300,110000,56800,79800,160000,210000
"Bucknell University","Northeastern","Liberal Arts",54100,110000,62800,80600,156000,251000
"Brown University","Northeastern","Ivy League",56200,109000,55400,74400,159000,228000
"Colgate University","Northeastern","Liberal Arts",52800,108000,60000,76700,167000,265000
"Columbia University","Northeastern","Ivy League",59400,107000,50300,71900,161000,241000
"Amherst College","Northeastern","Liberal Arts",54500,107000,NA,84900,162000,NA
"Lafayette College","Northeastern","Liberal Arts",53900,107000,70600,79300,144000,204000
"Bowdoin College","Northeastern","Liberal Arts",48100,107000,NA,74600,146000,NA
"College of the Holy Cross","Northeastern","Liberal Arts",50200,106000,NA,65600,143000,NA
"Stevens Institute of Technology","Northeastern","Engineering",60600,105000,68700,81900,138000,185000
"Swarthmore College","Northeastern","Liberal Arts",49700,104000,NA,67200,167000,NA
"Williams College","Northeastern","Liberal Arts",51700,102000,NA,76400,143000,NA
"Wesleyan University (Middletown, Connecticut)","Northeastern","Liberal Arts",46500,97900,42000,62500,126000,215000
"Wentworth Institute of Technology","Northeastern","Engineering",53000,96700,55200,74000,117000,153000
"Bates College","Northeastern","Liberal Arts",47300,96500,NA,60700,162000,NA
"Binghamton University","Northeastern","State",53600,95900,50900,71200,146000,201000
"Union College","Northeastern","Liberal Arts",47200,95800,48700,75200,135000,230000
"Vassar College","Northeastern","Liberal Arts",46000,94600,NA,60600,123000,NA
"Middlebury College","Northeastern","Liberal Arts",47700,94200,NA,69100,129000,NA
"Mount Holyoke College","Northeastern","Liberal Arts",42400,94200,NA,57100,131000,NA
"Stony Brook University","Northeastern","State",49500,93000,47200,67100,129000,181000
"Franklin and Marshall College","Northeastern","Liberal Arts",49100,92800,NA,55800,185000,NA
"State University of New York (SUNY) at Albany","Northeastern","Party",44500,92200,47000,63100,135000,209000
"State University of New York (SUNY) at Albany","Northeastern","State",44500,92200,47000,63100,135000,209000
"Rutgers University","Northeastern","State",50300,91800,48100,65100,128000,176000
"University of Connecticut (UConn)","Northeastern","State",48000,88800,46100,66400,120000,162000
"University of Massachusetts (UMass) - Amherst","Northeastern","State",46600,88200,43100,61300,122000,168000
"University of Massachusetts (UMass) - Lowell","Northeastern","State",45400,86600,50900,65000,113000,158000
"Colby College","Northeastern","Liberal Arts",46400,85800,NA,63500,129000,NA
"Gettysburg College","Northeastern","Liberal Arts",44700,85800,NA,66300,132000,NA
"Pennsylvania State University (PSU)","Northeastern","Party",49900,85700,46300,62000,117000,160000
"Pennsylvania State University (PSU)","Northeastern","State",49900,85700,46300,62000,117000,160000
"University of Rhode Island (URI)","Northeastern","State",43900,85300,45400,60100,112000,157000
"Siena College","Northeastern","Liberal Arts",45500,85200,38700,58400,129000,189000
"Rochester Institute of Technology (RIT)","Northeastern","Engineering",48900,84600,45000,62100,112000,159000
"State University of New York (SUNY) at Farmingdale","Northeastern","State",47300,84200,50200,59800,110000,162000
"Smith College","Northeastern","Liberal Arts",44000,83900,45100,59800,129000,184000
"Hamilton College","Northeastern","Liberal Arts",49200,83700,NA,51900,123000,NA
"Wellesley College","Northeastern","Liberal Arts",42800,83500,NA,58600,125000,NA
"University of Vermont (UVM)","Northeastern","State",44800,82700,44700,58000,122000,194000
"State University of New York (SUNY) at Buffalo","Northeastern","State",46200,81700,45900,61400,110000,147000
"State University of New York (SUNY) at Geneseo","Northeastern","State",42300,81300,39300,47600,117000,173000
"Ursinus College","Northeastern","Liberal Arts",42100,80000,35600,54300,1e+05,160000
"Juniata College","Northeastern","Liberal Arts",41800,78900,NA,67200,110000,NA
"University of New Hampshire (UNH)","Northeastern","Party",41800,78300,41700,56400,114000,147000
"University of New Hampshire (UNH)","Northeastern","State",41800,78300,41700,56400,114000,147000
"University of Massachusetts (UMass) - Boston","Northeastern","State",45600,78200,36300,53800,109000,151000
"State University of New York (SUNY) at Oswego","Northeastern","State",38000,77800,40400,53000,115000,169000
"University of Massachusetts (UMass) - Dartmouth","Northeastern","State",43200,77700,43300,56200,107000,132000
"State University of New York (SUNY) at Oneonta","Northeastern","State",37500,76700,40000,54300,97700,155000
"State University of New York (SUNY) at Plattsburgh","Northeastern","State",40800,76200,38400,54100,105000,136000
"Skidmore College","Northeastern","Liberal Arts",41600,74600,NA,42800,147000,NA
"Moravian College","Northeastern","Liberal Arts",42500,74400,NA,56700,94900,NA
"Penn State - Harrisburg","Northeastern","State",45700,74000,44000,53100,104000,150000
"Fitchburg State College","Northeastern","State",42400,72600,43300,56100,99600,151000
"University Of Maine","Northeastern","State",41200,72100,41700,55600,99300,141000
"State University of New York (SUNY) at Potsdam","Northeastern","State",38000,70300,35100,51200,1e+05,179000
"State University of New York (SUNY) at Fredonia","Northeastern","State",37800,66200,32800,44200,93300,181000
"University of Southern Maine","Northeastern","State",39400,63600,40400,47900,85700,117000
